relation_id,sentence_id,description,is_true,expectation,words,c_start,c_length,p_start,p_length,p_length,features,weights
3707051@7_0-3707051@7_8,3707051@7,Filippa Hamilton-Mario Testino,,0.406,"{Hamilton,has,been,photographed,by,Paolo,Roversi,"","",Mario,Testino,"","",Arthur,Elgort,"","",Inez,van,Lamsweerde,"","",Terry,Richardson,and,Gilles,Bensimon,.}",0,1,8,2,2,"{people_between_bucket=2,num_words_between_bucket=1,""BETW_L_[nsubjpass agent conj_and]"",""BETW_[nsubjpass photograph agent Roversi conj_and]"",""BETW_D_[nsubjpass photograph agent Roversi conj_and]""}","{1.97439,-0.109778,0.0904258,0,0}"
2098083@30_0-2098083@30_40,2098083@30,Marc Germain-Miller,,0.574,"{Germain,'s,show,began,to,blossom,in,March,2000,when,KABC,management,dropped,Stephanie,Miller,'s,syndicated,show,and,increased,the,run-time,of,``,Ask,Mr.,KABC,'',from,one,hour,to,three,hours,"","",occupying,the,two,hours,that,Miller,'s,show,previously,held,.}",0,1,40,1,1,"{people_between_bucket=2,dep_path_length>5,num_words_between_bucket=3,""BETW_D_[poss show nsubj begin xcomp occupy dobj hour rcmod hold nsubj show poss]that"",""BETW_L_[poss nsubj xcomp dobj rcmod nsubj poss]that"",""BETW_[poss show nsubj begin xcomp occupy dobj hour rcmod hold nsubj show poss]that""}","{1.97439,0.845584,-0.728149,0,0,0}"
1151958@87_8-1151958@87_3,1151958@87,Ted Haggard-Tony Fratto,,0.236,"{White,House,spokesman,Tony,Fratto,sought,to,downplay,Haggard,'s,influence,on,the,White,House,by,saying,that,Haggard,was,only,occasionally,part,of,the,weekly,calls,between,evangelical,leaders,and,the,White,House,and,had,visited,there,only,``,a,couple,'',of,times,.}",8,1,3,2,2,"{num_words_between_bucket=0,""INV_BETW_D_[poss influence dobj downplay xcomp seek nsubj]downplay"",""INV_BETW_[poss influence dobj downplay xcomp seek nsubj]downplay"",""INV_BETW_L_[poss dobj xcomp nsubj]downplay""}","{0.0050051,0,0,0}"
25902446@92_21-25902446@92_19,25902446@92,Malcolm Tucker-Glenn,,0.21,"{When,Hugh,accidentally,sends,an,expletive,e-mail,about,Malcolm,'s,expert,to,a,young,girl,in,Reigate,instead,of,Glenn,"","",Malcolm,convinces,Terri,Coverley,to,take,the,blame,for,it,"","",as,it,happened,on,her,computer,.}",21,1,19,1,1,"{num_words_between_bucket=0,""INV_BETW_[nsubj convince advcl send prep_to girl prep_in Reigate conj_negcc]"",""INV_BETW_D_[nsubj convince advcl send prep_to girl prep_in Reigate conj_negcc]"",""INV_BETW_L_[nsubj advcl prep_to prep_in conj_negcc]""}","{0.0050051,0,0,0}"
8327545@4_0-8327545@4_4,8327545@4,Maimun Najar-Duran,,0.2,"{Najar,'s,correspondence,with,Duran,on,religious,questions,is,found,in,``,Tashba,'',-LRB-,part,i.,"","",Nos.,94-96,"","",131-134,"","",154-157,;,part,ii.,"","",Nos.,4,"","",68-73,"","",86,"","",89,"","",135,"","",164-168,-RRB-,.}",0,1,4,1,1,"{people_between_bucket=0,NGRAM_1_['s],""BETW_L_[poss prep_with]with"",NGRAM_1_[correspondence],""NGRAM_2_['s correspondence]"",num_words_between_bucket=0}","{0.4248,-0.275959,-0.095462,-0.0339649,-0.00765888,0.0050051}"
35517011@5_32-35517011@5_11,35517011@5,Éric Alibert-Philippe Jaccottet,,0.256,"{There,is,also,an,influence,of,poetic,sources,"","",such,as,Philippe,Jaccottet,"","",Novalis,and,Marguerite,Yourcenar,and,of,plastic,artists,like,Soulages,"","",Viollet-le-Duc,and,Rembrandt,Bugatti,"","",to,whom,Alibert,dedicated,.}",32,1,11,2,2,"{num_words_between_bucket=2,""INV_BETW_[nsubj dedicate rcmod influence prep_such_as]"",""INV_BETW_L_[nsubj rcmod prep_such_as]"",""INV_BETW_D_[nsubj dedicate rcmod influence prep_such_as]""}","{-0.104993,0,0,0}"
39714394@7_13-39714394@7_22,39714394@7,Agustín Edwards Eastman-Mary Elizabeth Eastman Beeche,,0.502,"{He,was,born,in,Paris,"","",France,in,1927,"","",the,son,of,Agust,n,Edwards,Budge,of,the,Edwards,family,and,Mary,Elizabeth,Eastman,Beeche,"","",and,grandson,of,Agust,n,Edwards,Mac-Clure,.}",13,1,22,4,4,"{people_between_bucket=2,""BETW_L_[nn conj_and]"",num_words_between_bucket=1,""BETW_D_[nn Budge conj_and]"",""BETW_[nn Budge conj_and]""}","{1.97439,0.447555,-0.109778,0,0}"
7013397@5_0-7013397@5_12,7013397@5,Emil Richards-Asher George Zlotnik,,0.346,"{Richards,was,a,private,student,of,the,distinguished,and,Schillinger,accredited,teacher,Asher,George,Zlotnik,.}",0,1,12,3,3,"{people_between_bucket=1,num_words_between_bucket=2,""BETW_L_[nsubj vmod dobj]"",""BETW_[nsubj student vmod accredit dobj]"",""BETW_D_[nsubj student vmod accredit dobj]""}","{1.18556,-0.104993,-0.101853,0,0}"
3566727@26_13-3566727@26_15,3566727@26,Craig Saavedra-Shulman,,0.166,"{The,Duke,Ellington,review,marks,the,first,above-the-title,producing,credit,on,Broadway,for,Saavedra,and,Shulman,"","",and,has,garnered,rave,reviews,across,the,board,with,the,New,York,Times,proclaiming,it,``,HOT,"","",SWEET,AND,ALTOGETHER,GLORIOUS,!}",13,1,15,1,1,"{people_between_bucket=0,BETW_L_[conj_and],BETW_D_[conj_and],BETW_[conj_and],num_words_between_bucket=0}","{0.4248,0.149423,0.1476,0.147414,0.0050051}"
27624730@18_3-27624730@18_0,27624730@18,Boris Demidovich-Kolmogorov,,0.184,"{Kolmogorov,saw,that,Demidovich,was,interested,in,the,problems,of,differential,equations,"","",invited,him,to,join,him,in,studying,the,qualitative,theory,of,ordinary,differential,equations,under,the,direction,of,Vyacheslav,Stepanov,.}",3,1,0,1,1,"{""INV_BETW_L_[nsubj ccomp nsubj]"",num_words_between_bucket=0,""INV_BETW_D_[nsubj interested ccomp see nsubj]"",""INV_BETW_[nsubj interested ccomp see nsubj]""}","{-0.509324,0.0050051,0,0}"
