relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
325590@10_0-325590@10_5,325590@10,Dan Flavin-David,,0.926,"{Flavin,'s,twin,brother,"","",David,"","",died,in,1962,.}",0,1,5,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,""BETW_L_[poss appos]"",people_between_bucket=0,NGRAM_1_[twin],""BETW_D_[poss brother appos]""}","{3.54997,-0.689348,0.420776,-0.374931,0.370417,0.223824}"
9350840@4_0-9350840@4_4,9350840@4,Abigail Pietersen-Justin Pietersen,,0.928,"{Pietersen,'s,younger,brother,Justin,Pietersen,is,also,an,elite,senior-level,figure,skater,.}",0,1,4,2,2,"{NGRAM_1_[brother],NGRAM_1_[younger],num_words_between_bucket=0,people_between_bucket=0,""NGRAM_2_[younger brother]"",BETW_D_[poss]}","{3.54997,0.766178,-0.689348,-0.374931,0.255212,0.205387}"
20888503@4_0-20888503@4_4,20888503@4,Charles Bunning-Joe,,0.93,"{Charles,and,his,brothers,Joe,and,Tom,enlarged,the,business,after,their,father,'s,death,.}",0,1,4,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,people_between_bucket=0,BETW_[conj_and],BETW_D_[conj_and],BETW_L_[conj_and]}","{3.54997,-0.689348,-0.374931,0.365005,0.364122,0.363277}"
5079930@7_0-5079930@7_5,5079930@7,Margaret Bryan-Anne Bourchier,,0.916,"{Margaret,'s,younger,sister,was,Anne,Bourchier,-LRB-,1470,1530,-RRB-,who,married,Thomas,Fiennes,"","",8th,Lord,Dacre,in,1492,.}",0,1,5,2,2,"{NGRAM_1_[sister],NGRAM_1_[younger],num_words_between_bucket=0,people_between_bucket=0,""BETW_L_[poss nsubj]"",""NGRAM_2_[younger sister]""}","{2.77679,0.766178,-0.689348,-0.374931,0.353667,0.255323}"
97593@7_0-97593@7_4,97593@7,Sidney Bechet-Leonard Victor Bechet,,0.964,"{Sidney,'s,older,brother,Leonard,Victor,Bechet,-LRB-,1877,1952,-RRB-,was,a,full-time,dentist,and,a,part-time,trombonist,and,bandleader,.}",0,1,4,3,3,"{NGRAM_1_[brother],num_words_between_bucket=0,NGRAM_1_[older],people_between_bucket=0,BETW_D_[poss],BETW_L_[poss]}","{3.54997,-0.689348,0.624632,-0.374931,0.205387,0.204318}"
7115194@26_0-7115194@26_5,7115194@26,Stanford Jennings-Keith Jennings,,0.95,"{Jennings,',younger,brother,"","",Keith,Jennings,"","",played,tight,end,in,the,NFL,.}",0,1,5,2,2,"{NGRAM_1_[brother],NGRAM_1_[younger],num_words_between_bucket=0,""BETW_L_[poss appos]"",people_between_bucket=0,""NGRAM_2_[younger brother]""}","{3.54997,0.766178,-0.689348,0.420776,-0.374931,0.255212}"
16303338@42_9-16303338@42_14,16303338@42,Sam Newsome-Timothy Johnson,,0.922,"{They,were,married,on,September,18,"","",2004,by,Newsome,'s,older,brother,Reverend,Timothy,Johnson,.}",9,1,14,2,2,"{NGRAM_1_[brother],num_words_between_bucket=0,NGRAM_1_[older],people_between_bucket=0,BETW_D_[poss],BETW_L_[poss]}","{3.54997,-0.689348,0.624632,-0.374931,0.205387,0.204318}"
32966869@15_0-32966869@15_8,32966869@15,Eryn Shewell-William Shewell,,0.944,"{Eryn,has,two,siblings,"","",a,brother,"","",William,Shewell,and,a,sister,"","",Jordan,VanArsdale,.}",0,1,8,2,2,"{NGRAM_1_[brother],num_words_between_bucket=1,NGRAM_1_[sibling],""BETW_L_[nsubj dobj appos]"",people_between_bucket=0,NGRAM_1_[two]}","{3.54997,-0.867132,0.851061,0.520329,-0.374931,0.125691}"
8544717@26_0-8544717@26_4,8544717@26,Katharine Carl-Francis,,0.902,"{Carl,'s,brother,"","",Francis,"","",worked,for,Sir,Robert,Hart,at,the,Imperial,Chinese,Maritime,Customs,Service,.}",0,1,4,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,""BETW_L_[poss appos]"",""NGRAM_2_['s brother]"",people_between_bucket=0,""BETW_D_[poss brother appos]""}","{3.54997,-0.689348,0.420776,0.377358,-0.374931,0.223824}"
27382534@14_0-27382534@14_5,27382534@14,Henry C. McWhorter-Joseph M. McWhorter,,0.916,"{Henry,C.,McWhorter,'s,brother,Joseph,M.,McWhorter,-LRB-,1828,1913,-RRB-,was,also,a,notable,West,Virginia,lawyer,"","",politician,"","",and,judge,.}",0,3,5,3,3,"{NGRAM_1_[brother],num_words_between_bucket=0,""NGRAM_2_['s brother]"",people_between_bucket=0,BETW_D_[poss],BETW_L_[poss]}","{3.54997,-0.689348,0.377358,-0.374931,0.205387,0.204318}"
30127714@3_8-30127714@3_13,30127714@3,Pavel Gagarin-Andrew,,0.934,"{After,his,mother,'s,death,in,1800,"","",Pavel,and,his,elder,brother,Andrew,were,brought,up,at,a,private,boarding,school,in,Moscow,.}",8,1,13,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,people_between_bucket=0,BETW_[conj_and],BETW_D_[conj_and],BETW_L_[conj_and]}","{3.54997,-0.689348,-0.374931,0.365005,0.364122,0.363277}"
12480352@76_4-12480352@76_8,12480352@76,Ivan Wilzig-Alan,,0.932,"{In,the,late,1990s,Ivan,and,his,brother,Alan,built,a,medieval-style,estate,in,Water,Mill,"","",in,the,Hamptons,"","",on,Long,Island,"","",New,York,.}",4,1,8,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,people_between_bucket=0,BETW_[conj_and],BETW_D_[conj_and],BETW_L_[conj_and]}","{3.54997,-0.689348,-0.374931,0.365005,0.364122,0.363277}"
18697021@6_0-18697021@6_12,18697021@6,"Ralph Neville, 4th Earl of Westmorland-Isabel",,0.988,"{Neville,had,a,brother,who,died,young,"","",and,a,sister,"","",Isabel,"","",who,married,firstly,"","",Sir,Robert,Plumpton,"","",and,secondly,"","",Lawrence,Kighley,"","",Esq.,.}",0,1,12,1,1,"{NGRAM_1_[brother],NGRAM_1_[sister],num_words_between_bucket=2,people_between_bucket=0,NGRAM_1_[die],""BETW_L_[nsubj conj_and conj_and]""}","{3.54997,2.77679,-1.08131,-0.374931,0.0311868,-0.0146307}"
6109982@39_0-6109982@39_3,6109982@39,Pedro Abad Santos-Jose,,0.924,"{Pedro,'s,brother,Jose,"","",who,was,already,justice,secretary,"","",pleaded,with,Pedro,not,to,embarrass,Quezon,when,Pedro,introduced,the,President,.}",0,1,3,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,""NGRAM_2_['s brother]"",people_between_bucket=0,BETW_D_[poss],BETW_L_[poss]}","{3.54997,-0.689348,0.377358,-0.374931,0.205387,0.204318}"
6437043@10_0-6437043@10_5,6437043@10,Jim Elder-Norman Elder,,0.908,"{Jim,Elder,'s,brother,"","",Norman,Elder,was,an,author,and,explorer,.}",0,2,5,2,2,"{NGRAM_1_[brother],num_words_between_bucket=0,""BETW_L_[poss appos]"",""NGRAM_2_['s brother]"",people_between_bucket=0,""BETW_D_[poss brother appos]""}","{3.54997,-0.689348,0.420776,0.377358,-0.374931,0.223824}"
62358@5_0-62358@5_4,62358@5,Elizabeth Patterson Bonaparte-Robert,,0.902,"{Elizabeth,'s,brother,"","",Robert,"","",married,Carroll,'s,granddaughter,"","",Marianne,Caton,.}",0,1,4,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,""BETW_L_[poss appos]"",""NGRAM_2_['s brother]"",people_between_bucket=0,""BETW_D_[poss brother appos]""}","{3.54997,-0.689348,0.420776,0.377358,-0.374931,0.223824}"
250728@15_1-250728@15_11,250728@15,"Sir William Gull, 1st Baronet-John",,0.928,"{Of,William,s,surviving,five,siblings,"","",two,were,brothers,-LRB-,John,and,Joseph,-RRB-,and,three,were,sisters,-LRB-,Elizabeth,"","",Mary,and,Maria,-RRB-,.}",1,1,11,1,1,"{NGRAM_1_[brother],num_words_between_bucket=1,NGRAM_1_[sibling],NGRAM_1_[s],people_between_bucket=0,NGRAM_1_[survive]}","{3.54997,-0.867132,0.851061,-0.384356,-0.374931,0.151854}"
4620673@60_0-4620673@60_6,4620673@60,Graeme Bell-Roger Bell,,0.92,"{Graeme,Bell,'s,younger,brother,"","",Roger,Bell,-LRB-,1919,2008,-RRB-,was,also,a,jazz,musician,;,Roger,is,credited,with,influencing,Bell,to,convert,from,classical,music,to,jazz,;,they,often,performed,"","",toured,and,recorded,together,.}",0,2,6,2,2,"{NGRAM_1_[brother],NGRAM_1_[younger],num_words_between_bucket=0,""BETW_L_[poss appos]"",people_between_bucket=0,""NGRAM_2_[younger brother]""}","{3.54997,0.766178,-0.689348,0.420776,-0.374931,0.255212}"
83316@20_0-83316@20_9,83316@20,Ray Davies-Dave,,0.918,"{Davies,has,had,a,tempestuous,relationship,with,younger,brother,Dave,-LRB-,the,band,'s,lead,guitarist,-RRB-,that,dominated,the,Kinks,',career,as,a,band,.}",0,1,9,1,1,"{NGRAM_1_[brother],num_words_between_bucket=1,NGRAM_1_[younger],people_between_bucket=0,""NGRAM_2_[younger brother]"",""BETW_L_[nsubj dobj prep_with]""}","{3.54997,-0.867132,0.766178,-0.374931,0.255212,-0.110125}"
14938481@17_2-14938481@17_6,14938481@17,Luca Grimaldi-Bovarello,,0.926,"{In,1269,Luca,and,his,brother,Bovarello,were,charged,by,Charles,of,Provence,"","",now,King,of,Naples,"","",with,receiving,the,ambassadors,of,the,``,Sultan,of,Babylonia,'',"","",actually,the,Abbasid,caliph,then,in,Cairo,"","",Al-Hakim,I,"","",in,Genoa,.}",2,1,6,1,1,"{NGRAM_1_[brother],num_words_between_bucket=0,people_between_bucket=0,BETW_[conj_and],BETW_D_[conj_and],BETW_L_[conj_and]}","{3.54997,-0.689348,-0.374931,0.365005,0.364122,0.363277}"
12076555@11_0-12076555@11_6,12076555@11,Geoff Wragg-Peter,,0.962,"{Geoff,had,two,siblings,:,brother,Peter,was,a,successful,bloodstock,until,his,death,in,February,2004,"","",and,sister,Susan,was,married,to,top,jockey,Manny,Mercer,until,his,untimely,and,tragic,death,in,September,1959,.}",0,1,6,1,1,"{NGRAM_1_[brother],num_words_between_bucket=1,NGRAM_1_[sibling],people_between_bucket=0,""BETW_L_[nsubj parataxis nsubj]"",NGRAM_1_[two]}","{3.54997,-0.867132,0.851061,-0.374931,-0.181859,0.125691}"
27773@6_0-27773@6_3,27773@6,Sophia of Hanover-Charles Louis,,0.922,"{Sophia,'s,brother,Charles,Louis,was,restored,to,the,Palatinate,as,part,of,the,Peace,of,Westphalia,.}",0,1,3,2,2,"{NGRAM_1_[brother],num_words_between_bucket=0,""NGRAM_2_['s brother]"",people_between_bucket=0,BETW_D_[poss],BETW_L_[poss]}","{3.54997,-0.689348,0.377358,-0.374931,0.205387,0.204318}"
