relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
241904@25_52-241904@25_60,241904@25,Peng Dehuai-Mao Zedong,,0.04,"{From,1966,1970,"","",radical,factions,within,the,Communist,Party,"","",led,by,Lin,Biao,and,Mao,'s,wife,"","",Jiang,Qing,"","",singled,out,Peng,for,national,persecution,"","",and,Peng,was,publicly,humiliated,in,numerous,large-scale,struggle,sessions,and,subjected,to,physical,and,psychological,torture,in,organized,efforts,to,force,Peng,to,confess,his,``,crimes,'',against,Mao,Zedong,and,the,Communist,Party,.}",52,1,60,2,2,"{W_NER_L_1_R_1_[O]_[O],NGRAM_1_[``],STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[he],""W_NER_L_3_R_2_[O O O]_[O O]"",NGRAM_1_['']}","{-0.894855,-0.569403,-0.387882,0.387806,-0.344708,-0.335613}"
5338233@10_27-5338233@10_25,5338233@10,Marvin R. Baxter-Jones,,0.052,"{It,was,during,this,time,he,was,an,associate,and,then,a,partner,in,the,Fresno,Law,firm,of,Andrews,"","",Andrews,"","",Thaxter,"","",Jones,and,Baxter,where,he,practiced,civil,law,.}",27,1,25,1,1,"{INV_LENGTHS_[1_1],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_W_NER_L_1_R_1_[O]_[O],""INV_W_NER_L_1_R_2_[O]_[O O]"",""INV_W_NER_L_2_R_2_[PERSON O]_[O O]""}","{-1.69593,-0.96833,-0.866231,-0.377028,0.195746,0.193499}"
2402234@114_0-2402234@114_25,2402234@114,Phil Mitchell-Perry Fenwick,,0.096,"{Phil,reacts,badly,when,he,discovers,Ben,-LRB-,now,Joshua,Pascoe,-RRB-,is,gay,"","",and,makes,it,clear,that,he,prefers,Billy,'s,-LRB-,Perry,Fenwick,-RRB-,foster,son,"","",Jay,Brown,-LRB-,Jamie,Borthwick,-RRB-,.}",0,1,25,2,2,"{NGRAM_1_[that],W_NER_L_1_R_1_[O]_[O],NGRAM_1_[be],NGRAM_1_[and],""NGRAM_2_[-rrb- be]"",""NGRAM_1_[,]""}","{-1.15783,-0.894855,0.616367,0.558553,0.45826,-0.390824}"
3115601@75_0-3115601@75_2,3115601@75,Chris Leben-Brian Stann,,0.122,"{Leben,faced,Brian,Stann,on,January,1,"","",2011,"","",at,UFC,125,He,lost,the,fight,via,TKO,in,the,first,round,.}",0,1,2,2,2,"{W_NER_L_1_R_1_[O]_[O],NER_SEQ_[O],LENGTHS_[1_2],""W_NER_L_1_R_3_[O]_[O DATE DATE]"",""BETW_L_[nsubj dobj]"",STARTS_WITH_CAPITAL_[True_True]}","{-0.894855,-0.872583,0.786038,-0.543266,-0.424388,-0.387882}"
4562729@59_8-4562729@59_21,4562729@59,Mike Quinn-Carr,,0.114,"{However,"","",when,Banks,also,became,injured,"","",Quinn,was,signed,from,the,practice,squad,to,back,up,the,now,healthy,Carr,and,rookie,Dave,Ragone,.}",8,1,21,1,1,"{W_NER_L_1_R_1_[O]_[O],NGRAM_1_[be],LENGTHS_[1_0],STARTS_WITH_CAPITAL_[True_True],""W_NER_L_3_R_2_[O O O]_[O O]"",""W_NER_L_1_R_2_[O]_[O O]""}","{-0.894855,0.616367,-0.61415,-0.387882,-0.344708,-0.301129}"
3215878@85_9-3215878@85_15,3215878@85,Josh Hamilton-Edinson Volquez,,0,"{On,December,21,"","",2007,"","",the,Reds,traded,Hamilton,to,the,Texas,Rangers,for,Edinson,Volquez,and,Danny,Herrera,.}",9,1,15,2,2,"{W_NER_L_1_R_1_[O]_[O],NGRAM_1_[for],LENGTHS_[1_3],STARTS_WITH_CAPITAL_[True_True],""W_NER_L_1_R_3_[O]_[O PERSON PERSON]"",""W_NER_L_2_R_1_[ORGANIZATION O]_[O]""}","{-0.894855,-0.723081,0.547592,-0.387882,0.381701,-0.204408}"
10931956@2_16-10931956@2_31,10931956@2,Gary Marker-Ry Cooder,,0,"{A,bass,player,with,jazz,leanings,"","",who,had,studied,at,Berklee,College,of,Music,"","",Marker,was,a,member,of,the,Rising,Sons,between,1964,and,1966,"","",along,with,Ry,Cooder,and,Taj,Mahal,.}",16,1,31,2,2,"{LENGTHS_[1_1],W_NER_L_1_R_1_[O]_[O],NGRAM_1_[be],NGRAM_1_[and],NGRAM_1_[a],""NGRAM_1_[,]""}","{-1.69942,-0.894855,0.616367,0.558553,-0.445243,-0.390824}"
38339396@29_30-38339396@29_32,38339396@29,John Feehan-Edwards,,0.232,"{During,his,research,on,the,stratigraphy,and,palaeontology,of,the,Irish,Lower,Palaeozoic,in,the,1970s,"","",Feehan,discovered,what,are,still,amongst,the,oldest,known,vascular,plant,fossils,-LRB-,Feehan,and,Edwards,"","",1980,-RRB-,.}",30,1,32,1,1,"{LENGTHS_[1_1],W_NER_L_1_R_1_[O]_[O],NER_SEQ_[O],NGRAM_1_[and],""W_NER_L_1_R_3_[O]_[O DATE O]"",BETW_D_[conj_and]}","{-1.69942,-0.894855,-0.872583,0.558553,0.535183,0.523013}"
342214@41_16-342214@41_22,342214@41,Fulvia-Clodius,,0.056,"{Though,initially,an,``,optimate,'',"","",Curio,became,a,``,popularis,'',soon,after,marrying,Fulvia,"","",and,continued,many,of,Clodius,',popularist,policies,.}",16,1,22,1,1,"{LENGTHS_[1_1],""NER_SEQ_[O O O O O]"",W_NER_L_1_R_1_[O]_[O],NGRAM_1_[and],""NGRAM_1_[,]"",STARTS_WITH_CAPITAL_[True_True]}","{-1.69942,0.984072,-0.894855,0.558553,-0.390824,-0.387882}"
888078@81_0-888078@81_12,888078@81,Bernard Levin-Robin Ray,,0.176,"{Levin,was,a,frequent,panel,member,along,with,"","",among,others,"","",Robin,Ray,"","",Joyce,Grenfell,"","",David,Attenborough,and,Richard,Baker,.}",0,1,12,2,2,"{LENGTHS_[1_1],W_NER_L_1_R_1_[O]_[O],""W_LEMMA_L_1_R_1_[.]_[,]"",NGRAM_1_[be],NGRAM_1_[a],""NGRAM_1_[,]""}","{-1.69942,-0.894855,0.841349,0.616367,-0.445243,-0.390824}"
1298459@21_8-1298459@21_2,1298459@21,Erhard Heiden-Himmler,,0.052,"{Further,"","",Himmler,displayed,good,organisational,abilities,which,Heiden,put,to,work,.}",8,1,2,1,1,"{INV_LENGTHS_[1_1],INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,""INV_NER_SEQ_[O O O O O]"",""INV_W_NER_L_3_R_2_[O O O]_[O O]"",INV_W_NER_L_1_R_1_[O]_[O]}","{-1.69593,-0.96833,-0.866231,0.451901,0.40748,-0.377028}"
15716367@57_0-15716367@57_7,15716367@57,Randy Evans-Newt Gingrich,,0.102,"{Evans,served,as,a,Senior,Advisor,to,Newt,Gingrich,s,2012,campaign,for,the,Republican,nomination,for,president,until,Gingrich,s,announcement,of,his,intention,to,suspend,his,campaign,in,late,April,2012,.}",0,1,7,2,2,"{W_NER_L_1_R_1_[O]_[O],LENGTHS_[1_2],NGRAM_1_[as],""W_NER_L_1_R_3_[O]_[O DATE O]"",NGRAM_1_[a],STARTS_WITH_CAPITAL_[True_True]}","{-0.894855,0.786038,-0.680385,0.535183,-0.445243,-0.387882}"
9908648@15_0-9908648@15_15,9908648@15,Tammy Irons-Bobby Denton,,0.678,"{Irons,was,elected,to,the,State,Senate,November,2,"","",2010,to,replace,retiring,Sen.,Bobby,Denton,.}",0,1,15,2,2,"{W_NER_L_1_R_1_[O]_[O],LENGTHS_[1_2],NGRAM_1_[be],""NGRAM_1_[,]"",STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[2]}","{-0.894855,0.786038,0.616367,-0.390824,-0.387882,0.219473}"
191112@3_0-191112@3_6,191112@3,Joseph Canteloube-Ard,,0.55,"{Canteloube,was,born,in,Annonay,"","",Ard,che,"","",into,a,family,with,deep,roots,in,the,Auvergne,region,of,France,.}",0,1,6,1,1,"{W_NER_L_1_R_1_[O]_[O],NGRAM_1_[be],NGRAM_1_[in],""NGRAM_2_[be bear]"",""NGRAM_1_[,]"",STARTS_WITH_CAPITAL_[True_True]}","{-0.894855,0.616367,-0.611804,0.438393,-0.390824,-0.387882}"
1742796@42_2-1742796@42_13,1742796@42,Volodymyr Vynnychenko-Vsevolod Holubovych,,0.494,"{Alas,"","",Vynnychenko,'s,was,replaced,as,well,by,the,Socialist-Revolutionary,government,of,Vsevolod,Holubovych,.}",2,1,13,2,2,"{W_NER_L_1_R_1_[O]_[O],LENGTHS_[2_3],NGRAM_1_[as],NGRAM_1_[be],""NER_SEQ_[O O O O O O O O O O]"",STARTS_WITH_CAPITAL_[True_True]}","{-0.894855,0.77964,-0.680385,0.616367,0.410627,-0.387882}"
1561349@79_1-1561349@79_30,1561349@79,Giovanni Battista Grassi-Ross,,0.01,"{But,Grassi,'s,work,was,much,more,directly,relevant,to,human,health,as,he,demonstrated,that,human,malarial,parasites,were,incriminated,only,by,female,``,Anopheles,'',-LRB-,Interestingly,"","",Ross,never,identified,the,mosquito,species,"","",being,not,a,zoologist,"","",``,grey,mosquito,with,dappled,wings,'',was,all,that,he,could,offer,-RRB-,.}",1,1,30,1,1,"{NGRAM_1_[that],W_NER_L_1_R_1_[O]_[O],NGRAM_1_[as],NGRAM_1_[be],LENGTHS_[1_0],NGRAM_1_[``]}","{-1.15783,-0.894855,-0.680385,0.616367,-0.61415,-0.569403}"
241230@128_0-241230@128_13,241230@128,Ian Wright-Jayne Middlemiss,,0,"{Wright,continued,to,present,the,show,"","",alongside,Walsh,"","",and,new,presenter,Jayne,Middlemiss,.}",0,1,13,2,2,"{W_NER_L_1_R_1_[O]_[O],NGRAM_1_[and],NGRAM_1_[show],LENGTHS_[1_3],""NGRAM_1_[,]"",STARTS_WITH_CAPITAL_[True_True]}","{-0.894855,0.558553,0.552291,0.547592,-0.390824,-0.387882}"
6859063@11_14-6859063@11_4,6859063@11,Margarita Zavala-Felipe Calder,,0.076,"{As,the,wife,of,Felipe,Calder,n,"","",President,of,Mexico,during,2006-2012,"","",Margarita,Zavala,is,considered,``,First,Lady,'',although,such,function,is,not,defined,by,the,legal,frame,in,Mexico,.}",14,2,4,2,2,"{INV_STARTS_WITH_CAPITAL_[True_True],IS_INVERTED,INV_NGRAM_1_[of],""INV_W_NER_L_3_R_2_[O O O]_[O O]"",""INV_NGRAM_1_[,]"",INV_W_NER_L_1_R_1_[O]_[O]}","{-0.96833,-0.866231,-0.677554,0.40748,0.382263,-0.377028}"
21009824@3_1-21009824@3_17,21009824@3,Son Seung-joon-Wingback,,0,"{Mr.,Son,is,a,talented,defender,who,can,play,as,Defensive,midfielder,"","",Central,Defender,and,even,Wingback,.}",1,1,17,1,1,"{W_NER_L_1_R_1_[O]_[O],NGRAM_1_[as],NGRAM_1_[be],NGRAM_1_[and],LENGTHS_[0_1],NGRAM_1_[a]}","{-0.894855,-0.680385,0.616367,0.558553,0.52958,-0.445243}"
