relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
34790256@1_0-34790256@1_21,34790256@1,Fait-Florian Banser-Halberstadt,,0.6,"{Fait-Florian,Banser,Fait-Florian,Banser,-LRB-,born,20,February,1982,in,Perleberg,-RRB-,is,a,German,footballer,who,plays,for,VfB,Germania,Halberstadt,in,the,Regionalliga,Nord,.}",0,2,21,1,1,"{people_between_bucket=2,num_words_between_bucket=2,dep_path_length>5}","{1.35826,-0.689931,-0.250716}"
2197507@98_39-2197507@98_13,2197507@98,Seth-Peribsen-Peter Kaplony,,0.332,"{This,theory,is,debatable,;,Hermann,Alexander,Schl,gl,"","",Wolfgang,Helck,"","",Peter,Kaplony,and,Jochem,Kahl,argue,that,the,clay,seals,were,only,found,at,the,entrance,area,of,Peribsen,'s,tomb,and,none,of,them,depict,Peribsen,and,Sekhemib,'s,names,together,in,one,inscription,.}",39,1,13,2,2,{num_words_between_bucket=3},{-0.730026}
758296@7_22-758296@7_0,758296@7,Mahmud II of Great Seljuq-Ahmad,,0.306,"{Ahmad,accepted,and,advanced,with,an,army,to,the,west,in,1119,"","",where,he,together,with,``,five,kings,'',defeated,Mahmud,at,Saveh,.}",22,1,0,1,1,{num_words_between_bucket=3},{-0.730026}
5630923@41_4-5630923@41_15,5630923@41,Lenny Zakatek-Alan Parsons,,0.218,"{In,March,2010,"","",Zakatek,announced,a,return,to,the,stage,playing,a,selection,of,Alan,Parsons,Project,songs,.}",4,1,15,2,2,"{num_words_between_bucket=2,dep_path_length>5,NGRAM_1_[play],NGRAM_1_[return],NGRAM_1_[stage],NGRAM_1_[announce]}","{-0.689931,-0.250716,-0.23126,-0.0870083,-0.0482306,-0.0153474}"
4471598@4_0-4471598@4_16,4471598@4,Leonard Marshall-William Bendetson,,0.408,"{Marshall,recently,completed,a,book,"","",``,When,the,Cheering,Stops,'',"","",with,CBSsports.com,writer,William,Bendetson,about,the,1990,season,and,Super,Bowl,XXV,.}",0,1,16,2,2,"{num_words_between_bucket=2,""BETW_L_[nsubj prep_with]"",NGRAM_1_[complete],NGRAM_1_[stop],NGRAM_1_[writer],NGRAM_1_[book]}","{-0.689931,0.36561,-0.0750137,-0.0491494,0.0381906,-0.00807775}"
310451@17_2-310451@17_4,310451@17,Frank Broyles-Woodruff,,0.332,"{In,1950,Broyles,followed,Woodruff,when,the,latter,took,the,head,coach,position,at,the,University,of,Florida,.}",2,1,4,1,1,"{num_words_between_bucket=0,""BETW_L_[nsubj dobj]"",NGRAM_1_[follow],""BETW_D_[nsubj follow dobj]"",""BETW_[nsubj follow dobj]"",WORD_SEQ_[followed]}","{-0.275275,-0.253662,-0.0580185,0.00238898,0.00238898,-0.00103331}"
14009762@38_0-14009762@38_5,14009762@38,Moon Griffon-Ruth Ulrich of Monroe,,0.572,"{Griffon,'s,former,co-host,"","",Ruth,Ulrich,of,Monroe,"","",is,a,former,member,of,the,Louisiana,Republican,State,Central,Committee,and,the,Republican,National,Committee,.}",0,1,5,4,4,"{NGRAM_1_[former],num_words_between_bucket=0,""BETW_L_[appos prep_of]"",NGRAM_1_['s],NGRAM_1_[co-host],""NGRAM_2_['s former]""}","{0.346704,-0.275275,0.149819,0.134449,-0.0390126,0.00715688}"
8934604@29_20-8934604@29_12,8934604@29,Galina Brezhneva-Mikhail Gorbachev,,0.398,"{At,the,height,of,``,perestroika,'',"","",a,reform,initiated,by,Mikhail,Gorbachev,"","",many,of,the,rumors,about,Brezhneva,became,increasingly,wild,and,questionable,;,new,details,and,information,"","",possibly,apocryphal,"","",were,increasingly,included,in,the,rumors,.}",20,1,12,2,2,{num_words_between_bucket=1},{-0.46944}
4957148@38_2-4957148@38_6,4957148@38,Jahri Evans-Takia,,0.524,"{In,2013,Evans,married,his,girlfriend,Takia,in,the,Bahamas,.}",2,1,6,1,1,"{NGRAM_1_[marry],num_words_between_bucket=0,""BETW_L_[nsubj dobj]"",negative_dict_word,NGRAM_1_[girlfriend],""BETW_D_[nsubj marry dobj]""}","{0.297866,-0.275275,-0.253662,0.12435,0.0621239,0.0592331}"
5609482@15_0-5609482@15_21,5609482@15,Lee Hoiby-Menotti,,0.35,"{Hoiby,'s,first,opera,"","",``,The,Scarf,'',"","",a,chamber,opera,in,one,act,"","",which,was,produced,by,Menotti,and,premiered,in,1957,"","",was,recognized,by,``,TIME,'',and,the,Italian,press,as,the,hit,of,the,first,Spoleto,Festival,.}",0,1,21,1,1,"{num_words_between_bucket=3,dep_path_length>5,NGRAM_1_[one],NGRAM_1_[act],NGRAM_1_['s],NGRAM_1_[produce]}","{-0.730026,-0.250716,0.189943,0.143984,0.134449,-0.110578}"
