relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
217702@36_6-217702@36_11,217702@36,Geena Davis-Reza Jarrahy,t,1,"{On,September,1,"","",2001,"","",Davis,married,Iranian-American,plastic,surgeon,Reza,Jarrahy,-LRB-,born,1971,-RRB-,.}",6,1,11,2,2,"{NGRAM_1_[marry],""BETW_D_[nsubj marry dobj]"",""BETW_[nsubj marry dobj]"",num_words_between_bucket=0,""BETW_L_[nsubj dobj]"",people_between_bucket=0}","{3.30568,1.43661,1.43626,-0.721099,0.597677,0.21056}"
16747469@9_0-16747469@9_2,16747469@9,Paul P. Hastings-Frances Charlotte Reed,,0.998,"{Hastings,married,Frances,Charlotte,Reed,on,November,20,"","",1901,when,he,was,29,.}",0,1,2,3,3,"{NGRAM_1_[marry],WORD_SEQ_[married],""BETW_D_[nsubj marry dobj]"",""BETW_[nsubj marry dobj]"",num_words_between_bucket=0,""BETW_L_[nsubj dobj]""}","{3.30568,1.58492,1.43661,1.43626,-0.721099,0.597677}"
1284308@34_0-1284308@34_5,1284308@34,Lisa Madigan-Pat Byrnes,t,0.998,"{Madigan,is,married,to,cartoonist,Pat,Byrnes,"","",and,they,have,two,daughters,.}",0,1,5,2,2,"{NGRAM_1_[marry],""BETW_[nsubjpass marry prep_to]"",""BETW_D_[nsubjpass marry prep_to]"",""BETW_L_[nsubjpass prep_to]"",num_words_between_bucket=0,people_between_bucket=0}","{3.30568,1.05901,1.05901,0.775121,-0.721099,0.21056}"
40403652@15_0-40403652@15_7,40403652@15,Corey Harrison-Charlene Harrison,t,0.992,"{Harrison,married,his,high,school,sweetheart,"","",Charlene,Harrison,.}",0,1,7,2,2,"{NGRAM_1_[marry],num_words_between_bucket=1,""BETW_L_[nsubj dobj appos]"",NGRAM_1_[sweetheart],people_between_bucket=0,""NGRAM_3_[high school sweetheart]""}","{3.30568,-0.942828,0.569588,0.343841,0.21056,0.208024}"
3393578@1_30-3393578@1_34,3393578@1,Dwain Esper-Hildegarde Stadie,,0.976,"{Dwain,Esper,Dwain,Esper,-LRB-,October,7,"","",1892,October,18,"","",1982,-RRB-,was,an,American,director,and,producer,of,exploitation,films,-LRB-,some,of,which,were,written,by,Esper,'s,wife,"","",Hildegarde,Stadie,-RRB-,.}",30,1,34,2,2,"{NGRAM_1_[wife],num_words_between_bucket=0,""BETW_L_[poss appos]"",people_between_bucket=0,""BETW_[poss wife appos]"",""BETW_D_[poss wife appos]""}","{3.04107,-0.721099,0.413088,0.21056,0.142143,0.142143}"
8675053@12_0-8675053@12_4,8675053@12,Ephraim Katz-Helen,,0.976,"{Katz,and,his,wife,Helen,had,two,daughters,"","",Alyssa,and,Laura,.}",0,1,4,1,1,"{NGRAM_1_[wife],num_words_between_bucket=0,BETW_L_[conj_and],BETW_D_[conj_and],BETW_[conj_and],people_between_bucket=0}","{3.04107,-0.721099,0.405507,0.405,0.403988,0.21056}"
15373519@23_0-15373519@23_8,15373519@23,Jill Dobson-Jim Ornstein,t,0.984,"{Dobson,has,been,married,to,William,Morris,agent,Jim,Ornstein,since,June,3,"","",2006,.}",0,1,8,2,2,"{NGRAM_1_[marry],""BETW_D_[nsubjpass marry prep_to]"",""BETW_[nsubjpass marry prep_to]"",num_words_between_bucket=1,""BETW_L_[nsubjpass prep_to]"",people_between_bucket=2}","{3.30568,1.05901,1.05901,-0.942828,0.775121,-0.525986}"
350048@64_0-350048@64_10,350048@64,Maxwell Anderson-Gertrude Higger,t,0.99,"{Anderson,then,began,a,relationship,with,a,married,woman,"","",Gertrude,Higger,-LRB-,married,name,"","",Mab,Maynard,"","",stage,name,Mab,Anthony,-RRB-,starting,circa,1930,.}",0,1,10,2,2,"{NGRAM_1_[married],NGRAM_1_[relationship],num_words_between_bucket=1,NGRAM_1_[begin],""BETW_L_[nsubj parataxis nsubj]"",NGRAM_1_[woman]}","{2.72352,1.85837,-0.942828,0.695014,-0.335876,0.262292}"
10840176@44_2-10840176@44_4,10840176@44,"Hugh de Lacy, Lord of Meath-Rohese",,0.91,"{Before,1155,Hugh,married,Rohese,of,Monmouth,-LRB-,also,known,as,Rose,of,Monmouth,or,Roysya,-RRB-,de,Monemue,-RRB-,.}",2,1,4,1,1,"{NGRAM_1_[married],WORD_SEQ_[married],no_dependency,num_words_between_bucket=0,people_between_bucket=0,BETW_[nn]}","{2.72352,1.58492,-1.25763,-0.721099,0.21056,-0.0458232}"
1442541@154_0-1442541@154_4,1442541@154,Dario Franchitti-Ashley Judd,t,0.962,"{Franchitti,married,American,actress,Ashley,Judd,in,December,2001,at,Skibo,Castle,near,Dornoch,"","",Scotland,.}",0,1,4,2,2,"{NGRAM_1_[married],NGRAM_1_[actress],no_dependency,num_words_between_bucket=0,NGRAM_1_[american],people_between_bucket=0}","{2.72352,1.48256,-1.25763,-0.721099,0.617937,0.21056}"
19529430@36_0-19529430@36_2,19529430@36,Thure Kumlien-Margaretta Kumlien,,0.928,"{Thure,and,Margaretta,Kumlien,had,five,children,-LRB-,three,sons,and,two,daughters,-RRB-,"","",including,Augusta,Kumlien,-LRB-,1845,1845,-RRB-,"","",Aaron,Ludwig,Kumlien,-LRB-,1853,1902,-RRB-,"","",Theodore,V.,Kumlien,-LRB-,1855,?,-RRB-}",0,2,2,2,2,"{POS_SEQ_[],WORD_SEQ_[],num_words_between_bucket=0,""BETW_L_[null null nsubj conj_and]"",dep_path_length>5,people_between_bucket=0}","{1.33787,1.33787,-0.721099,0.550571,-0.266299,0.21056}"
857134@25_7-857134@25_14,857134@25,George Aiken-Lola Pierotti,t,0.972,"{Following,his,first,wife,'s,death,"","",Aiken,married,his,longtime,administrative,assistant,"","",Lola,Pierotti,"","",in,1967,.}",7,1,14,2,2,"{NGRAM_1_[marry],num_words_between_bucket=1,""BETW_L_[nsubj dobj appos]"",NGRAM_1_[longtime],people_between_bucket=0,NGRAM_1_[administrative]}","{3.30568,-0.942828,0.569588,0.47153,0.21056,-0.0127762}"
