relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
412453@60_28-412453@60_4,412453@60,Jim Bottomley-Ripper Collins,,0.504,"{Despite,the,presence,of,Ripper,Collins,"","",a,superior,fielder,who,transferred,to,the,Cardinals,from,the,Rochester,Red,Wings,of,the,International,League,"","",Street,announced,that,Bottomley,would,remain,the,starting,first,baseman,.}",28,1,4,2,2,"{INV_NGRAM_1_[transfer],INV_NGRAM_1_[announce],INV_NGRAM_1_[superior],INV_NGRAM_1_[fielder],""INV_BETW_L_[nsubj ccomp prep_despite prep_of]"",""INV_BETW_[nsubj remain ccomp announce prep_despite presence prep_of]""}","{-0.151062,0.0436884,0.0309821,0.0212863,-0.0179388,0.0134911}"
31559161@13_5-31559161@13_16,31559161@13,Santiago Rosario-Juan Marichal John Roseboro,,0.452,"{During,his,playing,career,"","",Rosario,was,involved,in,a,significantly,more,serious,sequel,to,the,Juan,Marichal,John,Roseboro,brawl,of,August,1965,.}",5,1,16,4,4,"{people_between_bucket=0,NGRAM_1_[involve],NGRAM_1_[serious],NGRAM_1_[sequel],NGRAM_1_[significantly],""BETW_D_[nsubjpass involve prep_in sequel prep_to brawl nn]""}","{-0.866341,0.466546,0.128775,0.075048,0.00482373,0.00319882}"
4095959@112_0-4095959@112_22,4095959@112,Elliott Yamin-Eman,,0.198,"{Yamin,recorded,35,songs,from,which,to,choose,the,final,track,list,and,worked,with,various,producers,"","",including,Jermaine,Dupri,"","",Eman,"","",Harvey,Mason,"","",Jr.,"","",Steve,Russell,and,Stargate,.}",0,1,22,1,1,"{people_between_bucket=2,NGRAM_1_[producer],NGRAM_1_[list],NGRAM_1_[various],NGRAM_1_[final],NGRAM_1_[record]}","{-1.84245,0.772316,-0.266867,0.251698,-0.240974,-0.240502}"
34377432@20_0-34377432@20_8,34377432@20,George Elers-Raja,,0.292,"{Elers,was,still,at,Vellum,when,the,old,Raja,was,deposed,in,a,bloodless,revolution,and,replaced,by,the,younger,Suffrajeh,.}",0,1,8,1,1,"{people_between_bucket=0,NGRAM_1_[old],""BETW_L_[nsubj advcl nsubjpass]"",NGRAM_1_[still]}","{-0.866341,-0.248081,0.160533,-0.0315884}"
878031@249_3-878031@249_0,878031@249,Jacques Copeau-Jouvet,,0.474,"{Jouvet,"","",like,Copeau,"","",respected,above,all,the,dramatic,text,.}",3,1,0,1,1,"{INV_NGRAM_1_[like],""INV_BETW_[prep_like respect nsubj]"",""INV_BETW_D_[prep_like respect nsubj]"",""INV_BETW_L_[prep_like nsubj]""}","{-0.0427244,-0.00506547,-0.00506547,-0.00186036}"
5910422@33_3-5910422@33_22,5910422@33,D. Wyatt Aiken-Jr.,,0.196,"{His,son,"","",Wyatt,Aiken,-LRB-,1863,1923,-RRB-,"","",also,served,in,Congress,and,a,first,cousin,"","",William,Aiken,"","",Jr.,"","",became,a,Congressman,and,Governor,of,South,Carolina,.}",3,2,22,1,1,"{people_between_bucket=2,NGRAM_1_[cousin],NGRAM_1_[first],NGRAM_1_[also],NGRAM_1_[1923],NGRAM_1_[serve]}","{-1.84245,0.279601,0.152989,-0.0555491,-0.038198,-0.0262758}"
1739356@101_9-1739356@101_4,1739356@101,Florence MacCarthy-Donal,,0.426,"{However,"","",his,rival,Donal,``,the,bastard,'',MacCarthy,described,him,as,``,a,damned,counterfeit,Englishman,whose,study,and,practice,was,to,deceive,and,betray,all,the,Irishmen,in,Ireland,'',.}",9,1,4,1,1,"{""INV_BETW_L_[nsubj nsubj]"",INV_NGRAM_1_[bastard],""INV_BETW_D_[nsubj describe nsubj]"",""INV_BETW_[nsubj describe nsubj]""}","{-0.19031,-0.0635377,-0.00664951,-0.00664951}"
2274639@8_4-2274639@8_13,2274639@8,Gerry Thomas-Swanson,,0.382,"{In,recent,years,"","",Thomas,',TV,Dinner,role,was,disputed,by,former,Swanson,and,Campbell,employees,"","",frozen,food,industry,officials,"","",and,Swanson,family,heirs,"","",who,said,the,product,was,created,by,the,Swanson,brothers,"","",Clarke,and,Gilbert,.}",4,1,13,1,1,"{people_between_bucket=0,NGRAM_1_[tv],NGRAM_1_[former],NGRAM_1_[role],""BETW_L_[poss nsubjpass agent]"",NGRAM_1_[dispute]}","{-0.866341,0.399923,0.276023,-0.238605,-0.0979476,0.0655655}"
4166411@1_0-4166411@1_6,4166411@1,Jon Faine-Jonathan Eric Faine,,0.092,"{Jon,Faine,Jon,Faine,"","",born,Jonathan,Eric,Faine,"","",is,an,Australian,radio,presenter,and,host,of,a,morning,program,on,774,ABC,in,Melbourne,.}",0,2,6,3,3,"{people_between_bucket=2,NGRAM_1_[bear],""BETW_L_[nn vmod dep]""}","{-1.84245,-0.499701,0.000129222}"
29050102@10_0-29050102@10_14,29050102@10,Muhammad al-Tawil of Huesca-Mutarrif,,0.078,"{Muhammad,ambushed,an,army,led,by,Is,`,mail,'s,sons,"","",Musa,and,Mutarrif,"","",leading,to,the,death,of,Musa,and,300,of,his,soldiers,and,the,capture,of,Mutarrif,.}",0,1,14,1,1,"{people_between_bucket=1,NGRAM_1_[lead],NGRAM_1_[son],NGRAM_1_[army],""NGRAM_2_['s son]"",NGRAM_1_['s]}","{-1.41558,-0.587704,-0.529445,-0.202381,-0.0604369,-0.0459589}"
1235884@16_4-1235884@16_2,1235884@16,Willy Mairesse-Surtees,,0.662,"{Thereafter,"","",Surtees,and,Mairesse,led,for,the,15,hours,of,the,first,18,hours,of,the,1963,24,Hours,of,Le,Mans,before,the,car,caught,fire,while,Mairesse,was,driving,.}",4,1,2,1,1,"{INV_BETW_[conj_and],INV_BETW_D_[conj_and],INV_BETW_L_[conj_and]}","{0.233146,0.232993,0.232978}"
5574726@24_12-5574726@24_33,5574726@24,D. John Markey-Fred K. Nielsen,,0.064,"{After,the,team,posted,a,2,4,2,record,that,season,"","",Markey,and,the,school,ended,their,arrangement,by,mutual,consent,"","",and,he,was,replaced,as,coach,by,State,Department,lawyer,Fred,K.,Nielsen,.}",12,1,33,3,3,"{people_between_bucket=0,NGRAM_1_[coach],NGRAM_1_[end],NGRAM_1_[replace],""NGRAM_2_[mutual consent]"",NGRAM_1_[school]}","{-0.866341,-0.470666,-0.45982,-0.442986,-0.144436,-0.135609}"
796578@22_15-796578@22_9,796578@22,Jamie Dimon-Theodore,,0.472,"{The,younger,Dimon,came,to,Weill,'s,attention,when,Theodore,passed,along,an,essay,that,Jamie,had,written,.}",15,1,9,1,1,"{INV_NGRAM_1_[along],INV_NGRAM_1_[essay],INV_NGRAM_1_[pass],""INV_NGRAM_2_[pass along]"",""INV_BETW_[nsubj write rcmod essay prep_along pass nsubj]"",""INV_BETW_L_[nsubj rcmod prep_along nsubj]""}","{-0.104515,-0.068872,-0.0348441,0.00679975,-0.00460789,-0.00460789}"
