relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
39797671@35_5-39797671@35_31,39797671@35,Javier Torres Félix-Zambada,,0.214,"{Prior,to,his,arrest,"","",Torres,F,lix,was,widely,regarded,as,one,of,the,top,leaders,of,the,Sinaloa,Cartel,"","",and,the,right-hand,man,of,``,El,Mayo,'',Zambada,.}",5,1,31,1,1,"{people_between_bucket=0,NGRAM_1_[leader],NGRAM_1_[widely],NGRAM_1_[one],NGRAM_1_[f],NGRAM_1_[man]}","{-0.793769,-0.485644,0.222375,-0.211186,-0.109026,-0.0684908}"
19499056@60_0-19499056@60_8,19499056@60,Li Zhongchen-Weibo,,0.176,"{Li,Zhongchen,and,Li,Zhengji,were,to,attack,Weibo,from,the,south,"","",and,Zhu,Tao,"","",Li,Baochen,"","",and,Xue,Jianxun,-LRB-,-RRB-,were,to,attack,from,the,north,.}",0,2,8,1,1,"{people_between_bucket=2,""BETW_L_[nsubj xcomp dobj]"",NGRAM_1_[attack]}","{-1.89504,0.565323,-0.430243}"
22877216@12_0-22877216@12_7,22877216@12,Danny Valdez-Eliseo Valdez,,0.206,"{Valdez,was,born,the,second,child,of,Eliseo,and,Lucinda,Valdez,.}",0,1,7,2,2,"{people_between_bucket=0,""BETW_L_[nsubjpass null null]"",NGRAM_1_[child],NGRAM_1_[bear],""NGRAM_2_[second child]"",NGRAM_1_[second]}","{-0.793769,-0.308671,-0.238377,-0.227808,0.178014,0.0603297}"
20682666@164_9-20682666@164_11,20682666@164,Elena Dementieva-Zhang Shuai,,0.204,"{Playing,for,Russia,in,Fed,Cup,in,Moscow,"","",Dementieva,defeated,Zhang,Shuai,6,3,"","",6,0,"","",helping,Russia,to,an,emphatic,5,0,win,over,the,Chinese,.}",9,1,11,2,2,"{""BETW_L_[nsubj dobj]"",people_between_bucket=0,NGRAM_1_[defeat],""BETW_[nsubj defeat dobj]"",""BETW_D_[nsubj defeat dobj]"",WORD_SEQ_[defeated]}","{0.934511,-0.793769,-0.618167,-0.334686,-0.334686,-0.106502}"
1528974@17_0-1528974@17_11,1528974@17,Henry Sapoznik-Kapelye,,0,"{Sapoznik,was,one,of,the,founding,members,of,the,klezmer,ensemble,Kapelye,.}",0,1,11,1,1,"{people_between_bucket=0,NGRAM_1_[member],NGRAM_1_[one],""NGRAM_2_[founding member]"",NGRAM_1_[ensemble],""BETW_L_[nsubj prep_of prep_of]""}","{-0.793769,-0.225053,-0.211186,0.11361,-0.0887534,0.0435359}"
31887599@1_0-31887599@1_4,31887599@1,James La Roche-James La Roche,f,0.08,"{James,La,Roche,Sir,James,La,Roche,-LRB-,or,Laroche,-RRB-,"","",1st,Baronet,-LRB-,24,June,1734,September,1804,-RRB-,"","",was,a,British,slave,trader,and,politician,.}",0,3,4,3,3,"{people_between_bucket=0,BETW_[nn],BETW_D_[nn],BETW_L_[nn]}","{-0.793769,-0.412336,-0.412193,-0.412193}"
20864@178_7-20864@178_4,20864@178,Margaret Mitchell-John Marsh,t,0.594,"{Several,months,after,marrying,John,Marsh,"","",Mitchell,quit,due,to,an,ankle,injury,that,would,not,heal,properly,and,chose,to,become,a,full-time,wife,.}",7,1,4,2,2,"{""INV_BETW_L_[nsubj prepc_after dobj]"",""INV_BETW_D_[nsubj quit prepc_after marry dobj]"",""INV_BETW_[nsubj quit prepc_after marry dobj]""}","{0.294406,0.00831306,0.00831306}"
2471890@16_38-2471890@16_24,2471890@16,"Margaret of France, Queen of England-Eleanor",,0.2,"{Additionally,"","",the,English,monarchy,would,regain,the,key,city,of,Guienne,and,receive,""15,000"",owed,to,Margaret,as,well,as,the,return,of,Eleanor,of,Castile,'s,lands,in,Ponthieu,and,Montreuil,as,a,dower,first,for,Margaret,"","",and,then,Isabella,of,France,.}",38,1,24,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[first],INV_NGRAM_1_[land],""INV_NGRAM_2_['s land]"",INV_NGRAM_1_[dower],""INV_NGRAM_2_[dower first]""}","{-1.22484,-0.166688,-0.138732,-0.00451582,0.00135026,0.00135026}"
125270@95_6-125270@95_12,125270@95,"Sarah, Duchess of York-Charles II",,0.284,"{On,her,father,'s,side,"","",Sarah,is,a,descendant,of,King,Charles,II,of,England,via,two,of,his,illegitimate,sons,"","",Charles,Lennox,"","",1st,Duke,of,Richmond,"","",and,James,Scott,"","",1st,Duke,of,Monmouth,.}",6,1,12,2,2,"{people_between_bucket=0,NGRAM_1_[descendant],""BETW_L_[nsubj prep_of]"",""BETW_[nsubj descendant prep_of]"",""BETW_D_[nsubj descendant prep_of]""}","{-0.793769,-0.1158,-0.0807672,0.004699,0.004699}"
36477486@3_0-36477486@3_19,36477486@3,Soma Mei Sheng Frazier-Nikki Giovanni,,0.118,"{Frazier,s,work,has,been,singled,out,by,Robert,Olen,Butler,"","",who,read,her,short,fiction,chapbook,;,Nikki,Giovanni,"","",Jim,Shepard,"","",Frederick,Barthelme,and,others,.}",0,1,19,2,2,"{people_between_bucket=2,NGRAM_1_[s],NGRAM_1_[fiction],NGRAM_1_[short],NGRAM_1_[single],NGRAM_1_[work]}","{-1.89504,-0.387817,0.192423,-0.189397,0.186644,0.180371}"
1594076@26_12-1594076@26_22,1594076@26,Lindsey Hunter-Alvin Gentry,,0.132,"{After,the,Suns,opened,the,season,with,a,13,28,record,"","",Hunter,was,named,Phoenix,'s,interim,head,coach,"","",replacing,Alvin,Gentry,on,January,20,"","",2013,.}",12,1,22,2,2,"{people_between_bucket=0,""BETW_L_[nsubjpass xcomp dobj]"",NGRAM_1_[head],NGRAM_1_[coach],NGRAM_1_[replace],""NGRAM_2_[head coach]""}","{-0.793769,0.428307,-0.375362,-0.354713,-0.340262,-0.237572}"
146215@10_34-146215@10_2,146215@10,Aemilianus-Cornelia Supera,t,0.742,"{Aemilian,married,Cornelia,Supera,"","",a,woman,of,African,origin,;,the,year,of,their,marriage,is,unknown,"","",but,since,both,were,from,the,same,place,"","",it,is,possible,they,married,before,Aemilian,left,Africa,.}",34,1,2,2,2,"{INV_NGRAM_1_[marriage],INV_NGRAM_1_[marry],INV_NGRAM_1_[place],INV_NGRAM_1_[year],INV_NGRAM_1_[woman],INV_NGRAM_1_[since]}","{0.682638,0.572322,-0.518423,0.447521,0.129485,0.0577363}"
102728@87_8-102728@87_6,102728@87,David Farragut-Lincoln,,0.506,"{On,December,21,"","",1864,"","",Lincoln,promoted,Farragut,to,vice,admiral,.}",8,1,6,1,1,"{""INV_BETW_L_[dobj nsubj]"",INV_NGRAM_1_[promote],INV_WORD_SEQ_[promoted],""INV_BETW_D_[dobj promote nsubj]"",""INV_BETW_[dobj promote nsubj]""}","{-0.0920931,0.00981905,-0.0092123,-0.000713437,-0.000713437}"
3676138@38_9-3676138@38_32,3676138@38,Gabriel Pascal-Meher Baba,,0.756,"{In,1934,"","",during,a,trip,to,Hollywood,"","",Pascal,was,contacted,by,Princess,Norina,Matchabelli,-LRB-,wife,of,the,perfume,manufacturer,-RRB-,about,a,film,project,based,on,the,teachings,of,Meher,Baba,.}",9,1,32,2,2,"{NGRAM_1_[wife],people_between_bucket=2,NGRAM_1_[base],NGRAM_1_[film],NGRAM_1_[project],NGRAM_1_[perfume]}","{3.29947,-1.89504,-0.362415,0.17555,-0.152745,0.0699443}"
13182410@112_0-13182410@112_10,13182410@112,Ki Sung-yueng-Han Hye-jin,t,0.924,"{Ki,confirmed,in,March,2013,that,he,was,dating,actress,Han,Hye-jin,"","",and,announced,their,engagement,in,May,2013,.}",0,1,10,2,2,"{NGRAM_1_[actress],NGRAM_1_[date],people_between_bucket=0,""BETW_L_[nsubj ccomp dobj]"",NGRAM_1_[2013],NGRAM_1_[confirm]}","{1.70451,1.26882,-0.793769,0.27537,0.102664,0.0673378}"
1371099@10_4-1371099@10_11,1371099@10,David Bottrill-Shirley,,0.36,"{Four,songs,mixed,by,Bottrill,remained,on,the,album,only,because,Shirley,could,n't,remix,the,entire,album,due,to,a,scheduling,conflict,.}",4,1,11,1,1,"{people_between_bucket=0,NGRAM_1_[remain],""BETW_D_[agent mix vmod song nsubj remain advcl remix nsubj]"",""BETW_L_[agent vmod nsubj advcl nsubj]"",""BETW_[agent mix vmod song nsubj remain advcl remix nsubj]"",NGRAM_1_[album]}","{-0.793769,0.168126,-0.00712041,-0.00712041,-0.00712041,0.00516997}"
3295024@57_0-3295024@57_6,3295024@57,Edward John Dent-George Airy,,0.268,"{Dent,won,the,esteem,of,Sir,George,Airy,"","",the,Astronomer,Royal,"","",who,recommended,him,as,the,maker,of,a,large,clock,for,the,tower,of,the,new,Royal,Exchange,.}",0,1,6,2,2,"{people_between_bucket=0,NGRAM_1_[win],""BETW_L_[nsubj dobj prep_of]"",NGRAM_1_[esteem],""BETW_D_[nsubj win dobj esteem prep_of]"",""BETW_[nsubj win dobj esteem prep_of]""}","{-0.793769,-0.298907,0.0414915,-0.0279568,0.00365204,0.00365204}"
36490363@24_16-36490363@24_28,36490363@24,Andrea Rossini-Rossini,f,0.122,"{Cesena,got,bomber,Gianluca,Lapadula,for,1.4,M,and,Gr,goire,Defrel,for,1.2,M,-LRB-,Rossini,was,Lapadula,'s,teammate,in,Ivrea,-RRB-,"","",and,Parma,signed,Rossini,for,1.6,M,and,Nicola,Del,Pivo,for,1M,.}",16,1,28,1,1,"{people_between_bucket=1,NGRAM_1_[sign],NGRAM_1_['s],NGRAM_1_[teammate],""NGRAM_2_['s teammate]"",""BETW_D_[nsubj teammate dep m prep_for get conj_and sign dobj]""}","{-1.36314,-0.474833,-0.0815833,0.028346,0.0174125,0.00502573}"
2509349@107_0-2509349@107_2,2509349@107,Kevin Tighe-Mick Dowd,,0.33,"{Tighe,played,Mick,Dowd,"","",a,gravedigger,"","",in,Martin,McDonagh,'s,``,A,Skull,in,Connemara,'',at,ACT,Theatre,in,Seattle,in,2000,.}",0,1,2,2,2,"{""BETW_L_[nsubj dobj]"",people_between_bucket=0,NGRAM_1_[play],""BETW_[nsubj play dobj]"",""BETW_D_[nsubj play dobj]"",WORD_SEQ_[played]}","{0.934511,-0.793769,-0.530818,-0.167432,-0.167432,-0.0710256}"
1443876@20_5-1443876@20_2,1443876@20,Roman Hruska-Nixon,,0.478,"{Even,after,Nixon,resigned,"","",Hruska,defended,him,and,claimed,Watergate,only,became,a,scandal,as,part,of,a,partisan,effort,to,attack,Nixon,.}",5,1,2,1,1,"{INV_NGRAM_1_[resign],""INV_BETW_L_[nsubj advcl nsubj]"",""INV_BETW_D_[nsubj defend advcl resign nsubj]"",""INV_BETW_[nsubj defend advcl resign nsubj]""}","{-0.158767,0.0838104,-0.00342999,-0.00342999}"
29398185@6_15-29398185@6_32,29398185@6,Zollie Malindi-Oscar Mpetha,,0.352,"{As,members,of,the,ANC,were,encouraged,to,join,unions,"","",in,no,time,"","",Zollie,joined,the,Food,and,Canning,Workers,Union,-LRB-,FAWU,-RRB-,where,he,met,political,leaders,like,Oscar,Mpetha,and,Ray,Alexander,.}",15,1,32,2,2,"{NGRAM_1_[meet],people_between_bucket=0,NGRAM_1_[join],NGRAM_1_[leader],NGRAM_1_[like],NGRAM_1_[political]}","{1.83689,-0.793769,-0.605701,-0.485644,-0.473149,-0.112899}"
30761550@53_5-30761550@53_11,30761550@53,Pedro de Ayala-Richard Foxe,,0.272,"{The,chronicler,George,Buchanan,mentions,Ayala,'s,negotiation,at,Jedburgh,with,Richard,Foxe,"","",Bishop,of,Durham,and,keeper,of,Norham,Castle,representing,Henry,VII,.}",5,1,11,2,2,"{people_between_bucket=0,NGRAM_1_['s],NGRAM_1_[negotiation],""BETW_L_[poss dobj prep_with]"",""BETW_[poss negotiation dobj mention prep_with]"",NGRAM_1_[jedburgh]}","{-0.793769,-0.0815833,-0.0492,-0.00898635,-0.0036008,-0.0036008}"
